gameName,votesFunny,votesUp,votedUp,sentimentLabel,snippet
BrickForce,2262,870,true,Negative,"My Grandfather smoked his whole life. I was about 10 years old when my mother said to him, 'If you ever want to see your grandchildren graduate, you have to stop immediately.'. Tears welled up in his eyes when he realized what exactly was at stake. He gave it up immediately. Thre"
BrickForce,1865,696,true,Negative,"My friend forced me to play this, we are no longer friends."
BrickForce,1655,974,false,Neutral,"1 reason to install this game :

Uninstall it."
Day One: Garry's Incident,6573,2178,false,Negative,My friend bought me this game. We are no longer friends.
Day One: Garry's Incident,3190,989,true,Positive,"Ha! Did I catch you off guard with this positive review?
Nah, just wanted to show the developers what a thumbs up looks like.

    This game blows ♥♥♥♥."
Day One: Garry's Incident,2802,1063,true,Negative,"If your The warden of a prison, use this as a alternative method for The electric chair."
Fast & Furious: Crossroads,654,804,false,Positive,Driving in Fortnite is more entertaining.
Fast & Furious: Crossroads,616,148,true,Neutral,"they have a router

for cars

10/10 Tesla can't compete"
Fast & Furious: Crossroads,602,700,true,Negative,"[i]I was going to leave this a negative review.[/i]

[h1]But you don't do that to family.[/h1]"
Gasp,1657,359,true,Positive,a good way of making sure your steam uninstall feature still works
Gasp,785,569,false,Negative,"'Choose a planet' beckoned Gasp, offering me either the Moon or Mars.
Well, I thought, the Moon isn't a planet. It's a moon. But I'm not paying £1.99 blind to get to Mars right away so the Moon it is.
I crash land. Command tries to panic me over the radio regarding my dwindling o"
Gasp,615,190,true,Negative,"Do I recommend this game? YES! Of course I do!
And here's why..

[b][h1]Pros[/h1][/b] [b]1.[/b] You can make hate reviews! :D (most important feature of this game :P)

[b][h1]Cons[/h1][/b] [b]1.[/b] This game kills your PC, amazing!
[b]2.[/b] Waste of time and data.
[b]3.[/b] SPO"
Hunt Down the Freeman,2188,2539,true,Neutral,I'm in it
Hunt Down the Freeman,982,656,true,Positive,STOP LOOKING AT THE POSITIVE REVIEWS NOW
Hunt Down the Freeman,927,981,false,Negative,game SUCKS i go to BED
The Culling II,834,366,true,Negative,"Winner of 2018 ""Dead game any%"" speedrun"
The Culling II,712,1377,false,Negative,"I stubbed my toe on the way to install this game.

That was the most enjoyable part of the experience.

-------------------------------------------------

Everything that defined the original is dead and gone. Instead, we have a terrible H1Z1 knockoff. The brutal melee combat, tr"
The Culling II,673,30,true,Positive,"I have been looking forward to The Culling 2 for several months.  This game is pretty cool and has lots of potential.  I just wish that the the butt hurt foks out there would actually give the game a chance, it is really good.  Disregard the other reviews and judge it for yoursel"
The Forgotten Ones,1430,461,true,Negative,It's a great torture device! The american agent told me everything after I forced him to play this.
The Forgotten Ones,1110,370,false,Negative,"If this game was a potato, it would be a bad potato."
The Forgotten Ones,672,366,false,Neutral,Uninstall Simulator 2014
The Lord of the Rings: Gollum,2301,920,true,Positive,"I love this game. My little mommy bought me this game and I love my little mommy, so I love this game.

Edit: I just played the game. I hate my little mommy now."
The Lord of the Rings: Gollum,1824,2377,false,Negative,"They takes it from us, Precious! Tricksy hobbitses stoles our money! GOLLUM. GOLLUM.

Throw it into the fire, Precious! Smash it with a rockses! Misery! Misery! Curse Daedalic. Curse it and crush it! We hates it! We hates it forever! Spoiling nice story. No rest for poor Smeagol."
The Lord of the Rings: Gollum,1527,1292,false,Neutral,I overpaid
